년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,광주광역시,전체(시 / 군 / 구),일반용,"89,878 ","284,853,192 ","37,303,999,348 ",131.0 
201802,광주광역시,전체(시 / 군 / 구),일반용,"90,081 ","293,761,374 ","38,324,195,578 ",130.5 
201803,광주광역시,전체(시 / 군 / 구),일반용,"90,083 ","231,561,306 ","28,854,707,570 ",124.6 
201804,광주광역시,전체(시 / 군 / 구),일반용,"90,066 ","221,526,750 ","33,363,563,443 ",150.6 
201805,광주광역시,전체(시 / 군 / 구),일반용,"90,128 ","208,475,853 ","16,080,649,826 ",77.1 
201806,광주광역시,전체(시 / 군 / 구),일반용,"90,120 ","232,451,865 ","30,005,670,082 ",129.1 
201807,광주광역시,전체(시 / 군 / 구),일반용,"90,268 ","265,777,737 ","38,406,025,008 ",144.5 
201808,광주광역시,전체(시 / 군 / 구),일반용,"90,410 ","324,846,574 ","45,094,338,755 ",138.8 
201809,광주광역시,전체(시 / 군 / 구),일반용,"90,529 ","274,480,833 ","34,619,461,362 ",126.1 
201810,광주광역시,전체(시 / 군 / 구),일반용,"90,483 ","208,328,969 ","24,172,042,153 ",116.0 
201811,광주광역시,전체(시 / 군 / 구),일반용,"90,604 ","211,850,050 ","27,425,929,128 ",129.5 
201812,광주광역시,전체(시 / 군 / 구),일반용,"90,743 ","238,869,455 ","32,928,820,691 ",137.9 
201901,광주광역시,전체(시 / 군 / 구),일반용,"90,972 ","277,591,421 ","36,753,325,327 ",132.4 
201902,광주광역시,전체(시 / 군 / 구),일반용,"91,106 ","265,942,866 ","35,298,118,943 ",132.7 
201903,광주광역시,전체(시 / 군 / 구),일반용,"91,243 ","226,581,832 ","28,506,955,629 ",125.8 
201904,광주광역시,전체(시 / 군 / 구),일반용,"91,283 ","224,516,979 ","25,444,371,801 ",113.3 
201905,광주광역시,전체(시 / 군 / 구),일반용,"91,323 ","208,020,235 ","24,289,632,966 ",116.8 
201906,광주광역시,전체(시 / 군 / 구),일반용,"91,518 ","226,873,737 ","29,545,748,238 ",130.2 
201907,광주광역시,전체(시 / 군 / 구),일반용,"91,621 ","250,110,743 ","36,742,134,195 ",146.9 
201908,광주광역시,전체(시 / 군 / 구),일반용,"91,815 ","301,213,200 ","42,365,432,658 ",140.6 
201909,광주광역시,전체(시 / 군 / 구),일반용,"92,004 ","272,537,265 ","34,260,273,169 ",125.7 
201910,광주광역시,전체(시 / 군 / 구),일반용,"92,115 ","224,826,922 ","25,314,188,315 ",112.6 
201911,광주광역시,전체(시 / 군 / 구),일반용,"92,307 ","213,590,249 ","27,551,033,826 ",129.0 
201912,광주광역시,전체(시 / 군 / 구),일반용,"92,559 ","242,270,293 ","33,263,542,714 ",137.3 
202001,광주광역시,전체(시 / 군 / 구),일반용,"92,848 ","269,323,437 ","35,655,232,276 ",132.4 
202002,광주광역시,전체(시 / 군 / 구),일반용,"92,899 ","261,335,111 ","34,913,762,881 ",133.6 
202003,광주광역시,전체(시 / 군 / 구),일반용,"92,916 ","230,680,592 ","29,017,013,871 ",125.8 
202004,광주광역시,전체(시 / 군 / 구),일반용,"92,989 ","217,818,632 ","24,883,294,179 ",114.2 
202005,광주광역시,전체(시 / 군 / 구),일반용,"93,009 ","207,667,797 ","24,119,445,257 ",116.1 
202006,광주광역시,전체(시 / 군 / 구),일반용,"93,356 ","234,770,721 ","30,653,388,050 ",130.6 
