년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201201,강원도,춘천시,일반용,"17,773 ","58,051,478 ","6,550,903,595 ",112.8 
201202,강원도,춘천시,일반용,"17,889 ","57,185,649 ","6,580,566,722 ",115.1 
201203,강원도,춘천시,일반용,"17,895 ","48,632,171 ","5,286,481,755 ",108.7 
201204,강원도,춘천시,일반용,"18,004 ","45,854,722 ","4,513,187,895 ",98.4 
201205,강원도,춘천시,일반용,"18,067 ","40,641,338 ","4,173,272,975 ",102.7 
201206,강원도,춘천시,일반용,"18,137 ","43,441,559 ","4,364,950,174 ",100.5 
201207,강원도,춘천시,일반용,"18,254 ","46,930,269 ","5,439,998,314 ",115.9 
201208,강원도,춘천시,일반용,"18,357 ","54,169,505 ","7,106,566,772 ",131.2 
201209,강원도,춘천시,일반용,"18,414 ","47,527,890 ","5,822,618,434 ",122.5 
201210,강원도,춘천시,일반용,"18,560 ","39,725,653 ","4,336,295,296 ",109.2 
201211,강원도,춘천시,일반용,"18,699 ","45,021,781 ","5,319,250,435 ",118.1 
201212,강원도,춘천시,일반용,"18,887 ","53,062,219 ","6,603,693,995 ",124.5 
201301,강원도,춘천시,일반용,"18,952 ","62,642,914 ","7,523,993,180 ",120.1 
201302,강원도,춘천시,일반용,"18,935 ","58,080,732 ","7,334,293,571 ",126.3 
201303,강원도,춘천시,일반용,"18,938 ","47,368,703 ","5,757,697,971 ",121.6 
201304,강원도,춘천시,일반용,"19,002 ","46,191,802 ","5,092,201,209 ",110.2 
201305,강원도,춘천시,일반용,"19,044 ","42,644,503 ","4,846,554,097 ",113.7 
201306,강원도,춘천시,일반용,"19,074 ","46,434,654 ","5,146,770,766 ",110.8 
201307,강원도,춘천시,일반용,"19,099 ","49,852,466 ","6,224,477,461 ",124.9 
201308,강원도,춘천시,일반용,"19,112 ","55,978,600 ","7,692,088,471 ",137.4 
201309,강원도,춘천시,일반용,"19,084 ","50,511,108 ","6,310,068,931 ",124.9 
201310,강원도,춘천시,일반용,"19,075 ","42,348,026 ","4,789,539,963 ",113.1 
201311,강원도,춘천시,일반용,"19,159 ","46,340,291 ","5,753,320,774 ",124.2 
